TITLE	BSA_c1_g1_83mMYCl3_rep2
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	TOF
DATE	10/03/28
TIME	12:28:43
SPECTROMETER/DATA SYSTEM	
LOCALE	2057
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  800.0000
LASTX	  250.0000
NPOINTS	    1101
FIRSTY	    -0.00163
MAXY	     0.62789
MINY	    -0.00163
XYDATA
567.0000	0.00377142
566.5000	0.00375519
566.0000	0.00374846
565.5000	0.00376774
565.0000	0.00377838
564.5000	0.00378241
564.0000	0.00378319
563.5000	0.00378542
563.0000	0.00381835
562.5000	0.00384466
562.0000	0.0038843
561.5000	0.00389656
561.0000	0.0038974
560.5000	0.0039143
560.0000	0.00392451
559.5000	0.00396514
559.0000	0.00398191
558.5000	0.00400008
558.0000	0.00395909
557.5000	0.00394328
557.0000	0.00393917
556.5000	0.00397694
556.0000	0.00401291
555.5000	0.00403085
555.0000	0.00402978
554.5000	0.00404923
554.0000	0.00406326
553.5000	0.004093
553.0000	0.00409657
552.5000	0.00410108
552.0000	0.00406438
551.5000	0.00409012
551.0000	0.00410828
550.5000	0.00416356
550.0000	0.00417744
549.5000	0.00418613
549.0000	0.00420309
548.5000	0.00418608
548.0000	0.00421022
547.5000	0.0042068
547.0000	0.00420564
546.5000	0.00417783
546.0000	0.00415234
545.5000	0.00414409
545.0000	0.00414922
544.5000	0.00418311
544.0000	0.00422958
543.5000	0.00424673
543.0000	0.00423385
542.5000	0.00421369
542.0000	0.0042246
541.5000	0.00425101
541.0000	0.00428471
540.5000	0.0043142
540.0000	0.00431467
539.5000	0.00433319
539.0000	0.00436367
538.5000	0.00438696
538.0000	0.00439608
537.5000	0.0043728
537.0000	0.0043768
536.5000	0.00440124
536.0000	0.00443236
535.5000	0.00445199
535.0000	0.00446455
534.5000	0.00449086
534.0000	0.0045255
533.5000	0.00454594
533.0000	0.00454334
532.5000	0.00454372
532.0000	0.0045613
531.5000	0.00455941
531.0000	0.0045733
530.5000	0.00458361
530.0000	0.00461105
529.5000	0.0046466
529.0000	0.00469283
528.5000	0.00470432
528.0000	0.00470406
527.5000	0.00468271
527.0000	0.00469432
526.5000	0.00471399
526.0000	0.00474091
525.5000	0.00475529
525.0000	0.00477569
524.5000	0.00479871
524.0000	0.00480518
523.5000	0.00482009
523.0000	0.00483751
522.5000	0.00485876
522.0000	0.00489273
521.5000	0.00488428
521.0000	0.00487548
520.5000	0.00484647
520.0000	0.00487878
519.5000	0.00489577
519.0000	0.00489346
518.5000	0.00490371
518.0000	0.00488773
517.5000	0.00488802
517.0000	0.00490624
516.5000	0.00493837
516.0000	0.00498204
515.5000	0.00500393
515.0000	0.00497151
514.5000	0.00496607
514.0000	0.00496104
513.5000	0.00501762
513.0000	0.00505608
512.5000	0.00512761
512.0000	0.00512996
511.5000	0.00512739
511.0000	0.00513351
510.5000	0.00513066
510.0000	0.00513208
509.5000	0.00515917
509.0000	0.00517692
508.5000	0.00518287
508.0000	0.00515487
507.5000	0.00514107
507.0000	0.00514753
506.5000	0.00516732
506.0000	0.00522054
505.5000	0.0052279
505.0000	0.00524665
504.5000	0.00521966
504.0000	0.00517262
503.5000	0.0051755
503.0000	0.00518508
502.5000	0.00525442
502.0000	0.00529833
501.5000	0.00531968
501.0000	0.00530148
500.5000	0.0052939
500.0000	0.00530702
499.5000	0.00532027
499.0000	0.00534579
498.5000	0.00533225
498.0000	0.00535068
497.5000	0.00535641
497.0000	0.00539579
496.5000	0.0054284
496.0000	0.00546948
495.5000	0.00548276
495.0000	0.00548459
494.5000	0.00548427
494.0000	0.00548155
493.5000	0.00549669
493.0000	0.00550289
492.5000	0.0055577
492.0000	0.00559933
491.5000	0.0056127
491.0000	0.00560126
490.5000	0.00561087
490.0000	0.00561708
489.5000	0.00565112
489.0000	0.00567375
488.5000	0.00567449
488.0000	0.00569908
487.5000	0.00571039
487.0000	0.00574674
486.5000	0.00576721
486.0000	0.0057787
485.5000	0.00580067
485.0000	0.00580053
484.5000	0.0058001
484.0000	0.00579412
483.5000	0.00583033
483.0000	0.00586089
482.5000	0.00591848
482.0000	0.00596848
481.5000	0.0059882
481.0000	0.0059873
480.5000	0.00598544
480.0000	0.00598795
479.5000	0.00600097
479.0000	0.00600755
478.5000	0.00600974
478.0000	0.00603476
477.5000	0.00608732
477.0000	0.00608255
476.5000	0.00607433
476.0000	0.00606176
475.5000	0.00612215
475.0000	0.00616103
474.5000	0.00619278
474.0000	0.00621602
473.5000	0.00623662
473.0000	0.00625636
472.5000	0.00627938
472.0000	0.00630985
471.5000	0.00632376
471.0000	0.00634291
470.5000	0.00633835
470.0000	0.00633427
469.5000	0.00636528
469.0000	0.00637556
468.5000	0.00645371
468.0000	0.00652396
467.5000	0.00656715
467.0000	0.00659072
466.5000	0.00657275
466.0000	0.00659127
465.5000	0.00660079
465.0000	0.00661495
464.5000	0.00663673
464.0000	0.00666751
463.5000	0.00666373
463.0000	0.0066389
462.5000	0.00664336
462.0000	0.00670014
461.5000	0.0067683
461.0000	0.00684198
460.5000	0.0068631
460.0000	0.00685588
459.5000	0.00686358
459.0000	0.00689319
458.5000	0.00693055
458.0000	0.00694519
457.5000	0.00696122
457.0000	0.0070071
