TITLE	BSA_c1_g1_8.3mMYCl3
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	TOF
DATE	10/03/28
TIME	10:49:29
SPECTROMETER/DATA SYSTEM	
LOCALE	2057
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  800.0000
LASTX	  250.0000
NPOINTS	    1101
FIRSTY	    -0.00113
MAXY	     0.70314
MINY	    -0.00113
XYDATA
441.5000	0.00800714
441.0000	0.00804281
440.5000	0.00806313
440.0000	0.00808194
439.5000	0.00813002
439.0000	0.00815858
438.5000	0.00817251
438.0000	0.00817862
437.5000	0.00819015
437.0000	0.00824558
436.5000	0.00827331
436.0000	0.00832572
435.5000	0.0083874
435.0000	0.00838127
434.5000	0.00836825
434.0000	0.0083573
433.5000	0.00837455
433.0000	0.00841594
432.5000	0.00843079
432.0000	0.00848
431.5000	0.00857067
431.0000	0.00857523
430.5000	0.00862081
430.0000	0.00861517
429.5000	0.00865156
429.0000	0.00864366
428.5000	0.00864334
428.0000	0.00862546
427.5000	0.00865099
427.0000	0.00867832
426.5000	0.00871035
426.0000	0.00876106
425.5000	0.00879632
425.0000	0.00882191
424.5000	0.00880454
424.0000	0.00882734
423.5000	0.00883558
423.0000	0.0088786
422.5000	0.00888781
422.0000	0.00892246
421.5000	0.00892661
421.0000	0.00896421
420.5000	0.00900391
420.0000	0.00902743
419.5000	0.00904991
419.0000	0.00906189
418.5000	0.00909735
418.0000	0.00908587
417.5000	0.00911123
417.0000	0.00911827
416.5000	0.00917797
416.0000	0.00917501
415.5000	0.00920842
415.0000	0.00918319
414.5000	0.0092216
414.0000	0.00921289
413.5000	0.0092381
413.0000	0.00921742
412.5000	0.00920798
412.0000	0.00916291
411.5000	0.00913821
411.0000	0.00912273
410.5000	0.00911662
410.0000	0.00909508
409.5000	0.00905569
409.0000	0.00907728
408.5000	0.00909588
408.0000	0.00908184
407.5000	0.0090767
407.0000	0.00908526
406.5000	0.00907901
406.0000	0.00903117
405.5000	0.00895783
405.0000	0.00888497
404.5000	0.00884849
404.0000	0.00887757
403.5000	0.00889403
403.0000	0.00898058
402.5000	0.00894984
402.0000	0.0089905
401.5000	0.00911928
401.0000	0.00916974
400.5000	0.00922688
400.0000	0.00916827
399.5000	0.0093092
399.0000	0.00946601
398.5000	0.00969164
398.0000	0.00984759
397.5000	0.0101439
397.0000	0.0103979
396.5000	0.0107345
396.0000	0.0110293
395.5000	0.0113491
395.0000	0.0116584
394.5000	0.0119637
394.0000	0.0123218
393.5000	0.0126374
393.0000	0.0129737
392.5000	0.0132117
392.0000	0.0136172
391.5000	0.0139309
391.0000	0.014255
390.5000	0.0144875
390.0000	0.0147707
389.5000	0.0149324
389.0000	0.0151411
